siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2016,1793
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2017,2004
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2018,1727
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2019,944
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2013,1441
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2014,2220
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2015,2356
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,2020,533
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2016,1960.8857142857144
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2017,2242.885714285714
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2018,1779.1
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2019,1069
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2013,1590.8000000000002
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2014,2758.6857142857143
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2015,2471.542857142857
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,2020,583.9285714285714
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2016,1790.9856115107912
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2017,2062.8848920863306
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2018,1876.6115107913668
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2019,2016.1294964028775
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2013,1556.323741007194
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2014,2634.68345323741
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2015,2458.9856115107914
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,2020,1403.4532374100718
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2016,1813.9166666666665
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2017,2099.964285714286
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2018,1798.4880952380952
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2019,1073.654761904762
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2013,1510.857142857143
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2014,2411.9285714285716
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2015,2427.1428571428573
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,2020,600.2380952380952
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2016,1817.6474820143885
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2017,2096.8057553956837
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2018,1889.8848920863309
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2019,2035.338129496403
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2013,1585.726618705036
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,2014,2703.654676258993
