siteID,plotID,siteName,plotType,longitude,latitude,elevation,NPP_2016,NPP_2017,NPP_2018,NPP_2019,NPP_2013,NPP_2014,NPP_2015,NPP_2020
CPER,CPER_049,Central Plains Experimental Range NEON,tower,-104.74458,40.817272,1654.33,1793,2004,1727,944,1441,2220,2356,533
CPER,CPER_050,Central Plains Experimental Range NEON,tower,-104.744577,40.818645,1645.38,1960.8857142857144,2242.885714285714,1779.1,1069,1590.8000000000002,2758.6857142857143,2471.542857142857,583.9285714285714
CPER,CPER_051,Central Plains Experimental Range NEON,tower,-104.748495,40.818106,1651.42,1790.9856115107912,2062.8848920863306,1876.6115107913668,2016.1294964028775,1556.323741007194,2634.68345323741,2458.9856115107914,1403.4532374100718
CPER,CPER_052,Central Plains Experimental Range NEON,tower,-104.745643,40.817276,1653.8,1813.9166666666665,2099.964285714286,1798.4880952380952,1073.654761904762,1510.857142857143,2411.9285714285716,2427.1428571428573,600.2380952380952
CPER,CPER_053,Central Plains Experimental Range NEON,tower,-104.749919,40.817842,1651.54,1817.6474820143885,2096.8057553956837,1889.8848920863309,2035.338129496403,1585.726618705036,2703.654676258993,2576.611510791367,1406.1798561151081
CPER,CPER_054,Central Plains Experimental Range NEON,tower,-104.748128,40.818898,1651.82,1830.8823529411764,2055.1764705882356,1840.1764705882354,1896.8823529411768,1547.7058823529412,2627.411764705883,2371.8823529411766,1378.5882352941176
CPER,CPER_055,Central Plains Experimental Range NEON,tower,-104.745645,40.819185,1645.23,1997.9208633093526,2291.1294964028775,1795.3525179856113,1075.956834532374,1619.388489208633,2723.3453237410067,2460.7410071942445,572.8273381294963
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,1825.1942446043167,2130.863309352518,1825.9424460431655,1974.4676258992806,1572.9712230215828,2589.9712230215823,2463.1870503597124,1376.9424460431655
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,1900.6508875739644,2133.7869822485204,1796.92899408284,1849.0650887573963,1551.3076923076924,2426.5384615384614,2416.437869822485,1401.2721893491123
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,1859.7133333333334,2063.0400000000004,1740.4799999999998,1868.1933333333334,1629.7933333333335,2329.166666666667,2274.713333333333,1295.3666666666668
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,1838.2999999999997,2084.35,1876.05,2056.1,1584.45,2730.9999999999995,2569.6499999999996,1458.6999999999998
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,1807.3525179856117,2091.0719424460435,1855.4748201438847,1923.8561151079136,1526.1223021582734,2476.129496402878,2431.438848920863,1380.0575539568347
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,1831.766467065868,2111.4970059880234,1845.8622754491014,2035.335329341317,1576.0179640718559,2740.1676646706583,2570.8083832335324,1405.077844311377
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,1840.5107913669067,2115.2158273381297,1883.4028776978416,1995.539568345324,1575.7553956834536,2670.446043165468,2539.0503597122306,1439.6690647482017
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,1855.063829787234,2121.8723404255315,1866.0638297872338,1956,1591.7021276595744,2683.191489361702,2462.659574468085,1426.1914893617018
CPER,CPER_064,Central Plains Experimental Range NEON,tower,-104.745994,40.818358,1648.46,1855.4131736526947,2122.1077844311376,1774.0059880239521,1904.4131736526947,1538.1437125748503,2558.4131736526947,2465.5508982035926,1399.7125748502995
CPER,CPER_065,Central Plains Experimental Range NEON,tower,-104.743864,40.818362,1645.56,1935.748502994012,2180.11377245509,1756.5389221556884,1049.2574850299402,1558,2598.6826347305387,2473.1377245508984,580.49700598802394
CPER,CPER_066,Central Plains Experimental Range NEON,tower,-104.749576,40.816750999999996,1651.16,1823.2230215827335,2077.8992805755393,1834.8776978417266,2007.8345323741005,1641.726618705036,2616.9064748201436,2489.8776978417263,1435.5755395683452
CPER,CPER_067,Central Plains Experimental Range NEON,tower,-104.745295,40.818646,1645.47,1972.165467625899,2232.791366906474,1821.2302158273378,1074.5035971223022,1637.1654676258993,2822.4244604316546,2491.230215827338,591.5827338129496
CPER,CPER_068,Central Plains Experimental Range NEON,tower,-104.744935,40.819722,1645.06,1869.1702127659573,2116.2978723404253,1781.404255319149,1972.5106382978722,1731.1063829787233,2618.085106382978,2353.95744680851,1378.595744680851
CPER,CPER_069,Central Plains Experimental Range NEON,tower,-104.749581,40.818644,1652.78,1827.5106382978722,2140.446808510638,1877,2002.517730496454,1597.9858156028367,2695.0141843971633,2483.5815602836883,1396.0141843971633
CPER,CPER_070,Central Plains Experimental Range NEON,tower,-104.744224,40.817815,1648.39,1971.6407185628743,2223.5149700598804,1838.233532934132,1052.2814371257484,1574.2814371257484,2545.323353293413,2543.6287425149703,589.7185628742516
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,1923.2857142857142,2171.571428571429,1771.4285714285713,1972.571428571429,1699.2857142857144,2595.642857142857,2351.714285714286,1369.0714285714287
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,1755.8915662650604,1947.2530120481929,1779.1807228915661,1781.096385542169,1480.8915662650604,2422.1084337349403,2312.879518072289,1329.1084337349398
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,1955,2161,1774,1055,1618,2702,2370,569
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,1967.9712230215825,2220.9352517985612,1838.7841726618703,2017.187050359712,1693.4676258992806,2846.230215827338,2374.0647482014383,1437.7194244604316
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,5663.49090909091,4624.127272727273,5506.993939393939,6179.933333333333,2869.351515151515,6762.3696969696975,6883.163636363636,3722.787878787879
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,4842.630434782608,2955.101449275362,4375.173913043478,4679.615942028985,2234.0217391304345,5524.152173913043,5583.630434782608,2904.9347826086955
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,5400.129496402877,3329.1079136690646,5606.25179856115,5883.712230215826,2802.712230215827,6558.158273381295,6354.028776978416,3929.294964028776
